message	correspondent	direction	tweet	word1	word2	word3	time	subject	thread	length
3268	1	from	tweet	messa	ecessary	vises	1328967624	RussianSphinx (@RussianSphinx) has sent you a direct message on Twitter!	339	68
3267	1	from	tweet	russiansphinx	ges	messa	1328970452	RussianSphinx (@RussianSphinx) has sent you a direct message on Twitter!	340	63
3269	1	from	tweet	ges	messa	ooks	1328974687	RussianSphinx (@RussianSphinx) has sent you a direct message on Twitter!	341	67
3322	1	from		ninja	paced	survive	1329138408	Re: more on learning d3	349	253
3437	1	from	tweet	inspection	packet	twe	1329248487	RussianSphinx (@RussianSphinx) replied to one of your Tweets!	361	76
6351	1	from	tweet	wxctmywr	datatuesday+	lund	1332878093	RussianSphinx (@RussianSphinx) mentioned you on Twitter!	693	67
6352	1	from	tweet	datatuesday	wxctmywr	datavises	1332878820	RussianSphinx (@RussianSphinx) replied to one of your Tweets!	694	73
8292	1	from	tweet	russiansphinx+	followfriday	worthfollowing	1335521980	RussianSphinx (@RussianSphinx) mentioned you on Twitter!	885	63
10279	1	from	tweet	russiansphinx+	manipulati	zrolnzom	1338208227	RussianSphinx (@RussianSphinx) mentioned you on Twitter!	1113	66
10278	1	from	tweet	picobee	picobee+	sia	1338208579	RussianSphinx (@RussianSphinx) mentioned you on Twitter!	1114	82
11401	1	from	tweet	moebio+	loiq	mgqg	1339580400	RussianSphinx (@RussianSphinx) mentioned you on Twitter!	1235	63
11567	1	from		offence	permit	vacancies	1339695857	Just next weird question lol	1261	247
11565	1	to		dazzled	infiltrate	sponsoring	1339709468	Re: Just next weird question lol	1261	175
11566	1	from		markets	mentality	overtime	1339927356	Re: Just next weird question lol	1261	647
13235	1	from	tweet	hardly	vizes	watc	1341566541	RussianSphinx (@RussianSphinx) has sent you a direct message on Twitter!	1427	74
13236	1	from	tweet	lol	ges	messa	1341566565	RussianSphinx (@RussianSphinx) has sent you a direct message on Twitter!	1428	63
15619	1	from	tweet	russiansphinx	ges	messa	1344625918	RussianSphinx (@RussianSphinx) has sent you a direct message on Twitter!	1751	55
15991	1	from	tweet	ironviz	aeg	cabedebfcdddbfd	1345196104	RussianSphinx(@RussianSphinx) mentioned you on Twitter!	1783	106
17079	1	from	tweet	ghg	fbbcbcbccebfffdff	hsnbzi	1346869609	RussianSphinx(@RussianSphinx) mentioned you on Twitter!	1875	105
17080	1	from		whois	netia	sphinx	1346870598	[Jerome Cukier] Comment: "Which way to the right?"	1876	83
21870	1	from	tweet	bfcebebdbafcc	dqmpjlob	jszlvdy	1352757527	RussianSphinx (@RussianSphinx) mentioned you on Twitter!	2413	93
7203	2	from	tweet	letsviz	letsviz+	xfjfaer	1334156206	Alberto Cairo (@albertocairo) replied to one of your Tweets!	764	88
7209	2	from	tweet	universal	albertocairo	albertocairoâ	1334158148	Alberto Cairo (@albertocairo) retweeted one of your Tweets!	768	60
7916	2	from	tweet	dalbertocairo	overdue	fjzfrd	1335107602	Alberto Cairo (@albertocairo) replied to one of your Tweets!	839	89
12251	2	from		such	glad	distinguished	1340539359	Re: Technical reviewing my book	1318	4
12249	2	to		thoughts	exactly	alberto	1340567578	Re: Technical reviewing my book	1318	5
12331	2	from		read	chance	chapters	1340735071	Re: Few notes about the reviewing	1325	12
12330	2	from		outlining	spiced	urging	1340984313	Re: Re: Few notes about the reviewing	1354	295
12333	2	to		trendy	variance	wore	1341075972	Re: Few notes about the reviewing	1364	2276
12326	2	from		reviewers	remind	functional	1341076633	Re: Few notes about the reviewing	1364	18
13291	2	from		portraying	rookie	virtues	1341597854	My thoughts about chapter 3	1442	437
13290	2	to		mathematical	coma	scalar	1341631843	Re: My thoughts about chapter 3	1442	631
13468	2	from		you	thank		1341915349	Re: Change of the Lead Technical Editor for the book "Data  Visualization: Success through Process"	1461	2
13983	2	from	tweet	gbh	ghosts	ydhsvook	1342557243	Alberto Cairo(@albertocairo) replied to one of your Tweets!	1510	123
15348	2	from	tweet	abf	agdd	fdbadceafaaccecc	1344347601	Alberto Cairo(@albertocairo) mentioned you on Twitter!	1700	93
16937	2	to		methodologies	prototypic	weigh	1346707934	comments on chapter 4	1852	581
22661	2	to		unachievable	unrestricte	utopian	1353691356	Book	2478	189
22662	2	from		chapter	wine	glass	1353691454	Re: Book	2478	12
22663	2	to		fine	whole	alberto	1353693717	Re: Book	2478	30
7521	3	from		telephone	officer	iegcs	1334692729	Re: Tableau data analyst	811	57
7522	3	from		amckenzie	officer	iegcs	1334695554	Re: Tableau data analyst	812	45
7520	3	to		morning	sharing	resume	1334696002	Re: Tableau data analyst	812	37
7509	3	from		otherwise	officer	iegcs	1334698162	Re: Tableau data analyst	812	49
7510	3	to		line	beforehand	herome	1334699433	Re: Tableau data analyst	812	14
7513	3	to		instead	room	booked	1334750478	Re: Tableau data analyst	812	11
7523	3	from		communications	delayed	unexpectedly	1334750691	Re: Tableau data analyst	818	34
7519	3	from		earlier	communications	mins	1334752583	Re: Tableau data analyst	819	27
7517	3	to		fine	instead	standard	1334753908	Re: Tableau data analyst	819	11
7507	3	to		toby	candea	mitton	1334768494	Re: Tableau data analyst	819	63
7518	3	from		officer	afternoon	iegcs	1335968920	Re: Tableau data analyst	819	58
7508	3	to		meetings	apologies	helle	1335979483	Re: Tableau data analyst	819	17
7516	3	from		enjoyed	ation	convers	1334782990	Re: Tableau data analyst	824	31
8325	3	from		dqenogeevoflc	hjjrcf	mckenzi	1335549617	Rejoindre mon réseau sur LinkedIn	890	65
7512	3	from		alex	strategy	communications	1335980367	Re: Tableau data analyst	932	29
7515	3	to		another	later	meeting	1336041133	Re: Tableau data analyst	932	10
7524	3	from		coast	west	teleconf	1336044361	Re: Tableau data analyst	932	48
7506	3	to		same	number	call	1336045375	Re: Tableau data analyst	932	10
7514	3	to		called	pick	returned	1336055605	Re: Tableau data analyst	932	14
8871	3	from		upstreaming	wbg	stc	1336321623	Job offer with IEG, at the World Bank Group	951	497
8865	3	to		bosses	authorized	replying	1336682625	Re: Job offer with IEG, at the World Bank Group	951	48
8867	3	from		deadlines	approaching	contracts	1336691502	Re: Job offer with IEG, at the World Bank Group	951	75
8868	3	to		provided	meanwhile	authorized	1336753701	Re: Job offer with IEG, at the World Bank Group	951	18
8869	3	to		formally	clearance	convenience	1337607273	Re: Job offer with IEG, at the World Bank Group	951	49
8866	3	to		formal	jeorme	clearance	1337981370	Re: Job offer with IEG, at the World Bank Group	951	26
8870	3	from		meantime	medical	expired	1338300116	Re: Job offer with IEG, at the World Bank Group	951	90
11002	3	from		processor	deposits	misplaced	1339087822	Initiating contract process - information requested	1201	119
11000	3	to		establish	intermediary	severance	1339109174	Re: Initiating contract process - information requested	1201	88
11003	3	from		specifically	banking	prompt	1339113844	Re: Initiating contract process - information requested	1201	59
11001	3	from		swift	acct	dept	1339499824	Re: Initiating contract process - information requested	1201	69
10998	3	to		intermediary	swift	reattaching	1339504746	Re: Initiating contract process - information requested	1201	31
10999	3	from		strategy	communications	attachment	1339506980	Re: Initiating contract process - information requested	1226	29
11495	3	from		wife	monitoring	pivotal	1339633152	Draft TOR, for your feedback/comments	1251	92
11496	3	to		assist	fought	utilize	1339970092	Re: Draft TOR, for your feedback/comments	1251	83
11494	3	to		hello	alex	proceed	1341331061	Re: Draft TOR, for your feedback/comments	1251	9
11498	3	from		storm	underway	unusually	1341345037	Re: Draft TOR, for your feedback/comments	1251	115
11497	3	to		coast	sooner	severe	1341411151	Re: Draft TOR, for your feedback/comments	1251	37
13164	3	from		passport	requiring	scanned	1341513301	Urgent - need copy of your passport or personal ID	1417	95
13163	3	to		photo	tim	passport	1341513878	Re: Urgent - need copy of your passport or personal ID	1417	12
13162	3	to		zareen	abbfadffbdbfeadf	dabbfadffbdbfeadf	1341515103	Re: Fw: Urgent - need copy of your passport or personal ID	1418	561
13180	3	to		else	tomorrow	scan	1341529872	Passport image	1420	13
13182	3	from		kindly	safe	scan	1341530179	Re: Passport image	1420	54
13178	3	to		near	proceed	grows	1341931684	Re: Passport image	1420	16
13179	3	from		deliverables	issued	requisites	1341933852	Re: Passport image	1420	109
13181	3	to		jerome	thanks	ready	1341934432	Re: Passport image	1420	3
13526	3	from		internally	cleared	expedite	1341958785	Important - contract processed on our end, please be alert to  correspondence	1420	76
13522	3	to		hear	thank	glad	1341958879	Re: Important - contract processed on our end, please be alert to correspondence	1420	6
13188	3	to		mobile	sent	object	1341531488		1421	5
13525	3	to		still	haven	comply	1342109982	Re: Important - contract processed on our end, please be alert to correspondence	1481	11
13521	3	from		officer	iegcs	posted	1342186418	Re: Important - contract processed on our end, please be alert to  correspondence	1481	41
13524	3	to		organize	pressing	stressful	1342465664	Re: Important - contract processed on our end, please be alert to correspondence	1481	24
13523	3	from		regret	expedite	flagged	1342478146	Re: Important - contract processed on our end, please be alert to  correspondence	1481	62
13520	3	to		jerome	best	thanks	1342478238	Re: Important - contract processed on our end, please be alert to correspondence	1481	5
13956	3	from		stay	earliest	arrangements	1342546917	Re: Fwd: Regarding Request: Cukier, Jerome Oliver (UPI=434116)	1508	53
13957	3	to		holiday	fly	extend	1342547192	Re: Fwd: Regarding Request: Cukier, Jerome Oliver (UPI=434116)	1508	33
13970	3	from		confirm	flight	booking	1342553137	We're booking your flight tomorrow afternoon. Please confirm asap.	1508	40
13968	3	from		preferences	gabi	princess	1342549191	Important - Travel & hotel arrangements for Jerome Cukier for 7/18 -8/4	1509	87
14059	3	from		inteview	motions	penn	1342620124	Follow-up and DC information	1519	185
14058	3	to		afterwards	drop	landed	1342635847	Re: Follow-up and DC information	1519	17
14057	3	from		welcome	officer	iegcs	1342641862	Re: Follow-up and DC information	1519	53
14124	3	from		mckenzie	strategy	communications	1342699892	Coming in a bit late, pls try Mari Gabi if I'm not there.. Thanks, alex<eom>	1527	16
14134	3	from		strategy	body	communications	1342703081	Just got in<eom>	1531	53
15457	3	from		fronts	kaps	retrieval	1344448715	Greetings & checking up	1717	88
15456	3	to		demands	amidst	undergoing	1344519648	Re: Greetings & checking up	1717	70
15955	3	from		shameless	plug	johan	1345143690	Problem accessing Tableau worksheets	1780	115
15958	3	to		laptop	investigate	sharepoint	1345157016	Re: Problem accessing Tableau worksheets	1780	29
15959	3	from		asof	twb	tde	1345158784	Re: Problem accessing Tableau worksheets	1780	99
15954	3	to		morra	passcode	passkey	1345193576	Re: Problem accessing Tableau worksheets	1780	80
15957	3	from		remote	hin	unforgiving	1345203630	Re: Problem accessing Tableau worksheets	1785	58
15956	3	to		yoon	yyoon	dabbfcedfcafeadf	1345214295	Re: Problem accessing Tableau worksheets	1786	831
17458	3	from		refining	acronyms	icr	1347400459	Conference call next week on Tableau reports	1905	151
17459	3	to		meetings	anytime	payment	1347438446	Re: Conference call next week on Tableau reports	1905	41
18144	3	from		replying	decimated	ealier	1348093877	Following up on virtual meeting	1996	78
18143	3	from		sept	kindly	teleconference	1348164746	Re: Following up on virtual meeting	1998	47
18274	3	from		iegcs	bother	teleconference	1348269653	Need to talk to you	2002	48
18273	3	to		mornings	evenings	funerals	1348290288	Re: Need to talk to you	2002	53
18275	3	from		recent	loss	condolences	1348489647	Re: Need to talk to you	2002	51
18464	3	from		amckenzie	officer	iegcs	1348587471	Jerome, I'm setting up a teleconference for tomorrow at 1pm-2:30pm (EST), will  send you the Adobe Connect information shortly, Thanks, Alex<eom>	2025	29
18463	3	to		mornings	budge	pm+	1348590211	Re: Jerome, I'm setting up a teleconference for tomorrow at  1pm-2:30pm (EST), will send you the Adobe Connect information shortly,  Thanks, Alex<eom>	2025	50
18465	3	from		officer	iegcs	traveling	1348602174	Re: Jerome, I'm setting up a teleconference for tomorrow at 1pm-2:30pm (EST), will  send you the Adobe Connect information shortly, Thanks, Alex<eom>	2025	49
18541	3	from		amckenzie	officer	iegcs	1348663478	Jerome, please confirm if 10am EST on Friday 28 works with you. Thanks, Alex<eom>	2037	29
18540	3	to		works	thank	nicely	1348663847	Re: Jerome, please confirm if 10am EST on Friday 28 works with you.  Thanks, Alex<eom>	2037	5
18578	3	from		tableaureports	telecomm	worldbankva	1348674104	Friday 28, 10am EST remote session details	2037	71
18577	3	to		then	great	friday	1348675750	Re: Friday 28, 10am EST remote session details	2037	5
20300	3	from		adobe	chief	logging	1350677352	Greetings and follow-up	2273	148
20301	3	from		mckenzie	fwd	teleconference	1350677510	Fw: Data visualization assignment: please forward to Jerome	2274	55
20304	3	from		cleaner	reflects	discernible	1350680292	Update -> Fw: Data visualization exercise	2275	114
20305	3	to		designated	owned	indigenous	1351023268	Re: Update -> Fw: Data visualization exercise	2275	87
20303	3	from		clarified	parcels	pxwebquery	1351024129	Re: Update -> Fw: Data visualization exercise	2275	86
